timestamp,Debug0,Debug1,Debug2,Debug3
1529854128141,0,0,0,0
1529854128241,0,0,0,0
1529854128341,0,0,0,0
1529854128441,0,0,0,0
1529854128541,0,0,0,0
1529854128641,0,0,0,0
1529854128741,0,0,0,0
1529854128841,0,0,0,0
1529854128941,0,0,0,0
1529854129041,0,0,0,0
1529854129142,0,0,0,0
1529854129242,0,0,0,0
1529854129343,0,0,0,0
1529854129443,0,0,0,0
1529854129545,0,0,0,0
1529854129643,0,0,0,0
1529854129741,0,0,0,0
1529854129841,0,0,0,0
1529854129941,0,0,0,0
1529854130041,0,0,0,0
1529854130141,0,0,0,0
1529854130241,0,0,0,0
1529854130341,0,0,0,0
1529854130447,0,0,0,0
1529854130542,0,0,0,0
1529854130641,0,0,0,0
1529854130742,0,0,0,0
1529854130841,0,0,0,0
1529854130941,0,0,0,0
1529854131041,0,0,0,0
1529854131141,0,0,0,0
1529854131241,0,0,0,0
1529854131341,0,0,0,0
1529854131441,0,0,0,0
1529854131541,0,0,0,0
1529854131641,0,0,0,0
1529854131741,0,0,0,0
1529854131841,0,0,0,0
1529854131941,0,0,0,0
1529854132041,0,0,0,0
1529854132141,0,0,0,0
1529854132241,0,0,0,0
1529854132341,0,0,0,0
1529854132441,0,0,0,0
1529854132541,0,0,0,0
1529854132641,0,0,0,0
1529854132741,0,0,0,0
1529854132841,0,0,0,0
1529854132941,0,0,0,0
1529854133041,0,0,0,0
1529854133141,0,0,0,0
1529854133241,0,0,0,0
1529854133340,0,0,0,0
1529854133441,0,0,0,0
1529854133541,0,0,0,0
1529854133641,0,0,0,0
1529854133741,0,0,0,0
1529854133841,0,0,0,0
1529854133941,0,0,0,0
1529854134041,0,0,0,0
1529854134141,0,0,0,0
1529854134241,0,0,0,0
1529854134341,0,0,0,0
1529854134441,0,0,0,0
1529854134541,0,0,0,0
1529854134641,0,0,0,0
1529854134741,0,0,0,0
1529854134841,0,0,0,0
1529854134941,0,0,0,0
1529854135041,0,0,0,0
1529854135141,0,0,0,0
1529854135241,0,0,0,0
1529854135341,0,0,0,0
1529854135441,0,0,0,0
1529854135541,0,0,0,0
1529854135641,0,0,0,0
1529854135741,0,0,0,0
1529854135841,0,0,0,0
1529854135942,0,0,0,0
1529854136042,0,0,0,0
1529854136144,0,0,0,0
1529854136242,0,0,0,0
1529854136341,0,0,0,0
1529854136441,0,0,0,0
1529854136541,0,0,0,0
1529854136641,0,0,0,0
1529854136741,0,0,0,0
1529854136841,0,0,0,0
1529854136941,0,0,0,0
1529854137040,0,0,0,0
1529854137140,0,0,0,0
1529854137241,0,0,0,0
1529854137341,0,0,0,0
1529854137441,0,0,0,0
1529854137541,0,0,0,0
1529854137641,0,0,0,0
1529854137741,0,0,0,0
1529854137841,0,0,0,0
1529854137941,0,0,0,0
1529854138041,0,0,0,0
1529854138141,0,0,0,0
1529854138241,0,0,0,0
1529854138341,0,0,0,0
1529854138441,0,0,0,0
1529854138541,0,0,0,0
1529854138641,0,0,0,0
1529854138741,0,0,0,0
1529854138841,0,0,0,0
1529854138941,0,0,0,0
1529854139041,0,0,0,0
1529854139141,0,0,0,0
1529854139241,0,0,0,0
1529854139341,0,0,0,0
1529854139441,0,0,0,0
1529854139541,0,0,0,0
1529854139641,0,0,0,0
1529854139741,0,0,0,0
1529854139841,0,0,0,0
1529854139941,0,0,0,0
1529854140041,0,0,0,0
1529854140141,0,0,0,0
1529854140241,0,0,0,0
1529854140341,0,0,0,0
1529854140441,0,0,0,0
1529854140541,0,0,0,0
1529854140641,0,0,0,0
1529854140741,0,0,0,0
1529854140841,0,0,0,0
1529854140941,0,0,0,0
1529854141041,0,0,0,0
1529854141141,0,0,0,0
1529854141241,0,0,0,0
1529854141341,0,0,0,0
1529854141441,0,0,0,0
1529854141542,0,0,0,0
1529854141643,0,0,0,0
1529854141743,0,0,0,0
1529854141842,0,0,0,0
1529854141941,0,0,0,0
1529854142041,0,0,0,0
1529854142141,0,0,0,0
1529854142241,0,0,0,0
1529854142341,0,0,0,0
1529854142441,0,0,0,0
1529854142541,0,0,0,0
1529854142641,0,0,0,0
1529854142741,0,0,0,0
1529854142841,0,0,0,0
1529854142941,0,0,0,0
1529854143041,0,0,0,0
1529854143141,0,0,0,0
1529854143241,0,0,0,0
1529854143341,0,0,0,0
1529854143441,0,0,0,0
1529854143541,0,0,0,0
1529854143641,0,0,0,0
1529854143741,0,0,0,0
1529854143841,0,0,0,0
1529854143941,0,0,0,0
1529854144041,0,0,0,0
1529854144141,0,0,0,0
1529854144241,0,0,0,0
1529854144341,0,0,0,0
1529854144441,0,0,0,0
1529854144541,0,0,0,0
1529854144641,0,0,0,0
1529854144741,0,0,0,0
1529854144841,0,0,0,0
1529854144941,0,0,0,0
1529854145041,0,0,0,0
1529854145141,0,0,0,0
1529854145241,0,0,0,0
1529854145341,0,0,0,0
1529854145441,0,0,0,0
1529854145541,0,0,0,0
1529854145641,0,0,0,0
1529854145741,0,0,0,0
1529854145841,0,0,0,0
1529854145942,0,0,0,0
1529854146041,0,0,0,0
1529854146141,0,0,0,0
1529854146241,0,0,0,0
1529854146341,0,0,0,0
1529854146441,0,0,0,0
1529854146541,0,0,0,0
1529854146641,0,0,0,0
1529854146741,0,0,0,0
1529854146844,0,0,0,0
1529854146946,0,0,0,0
1529854147041,0,0,0,0
1529854147141,0,0,0,0
1529854147241,0,0,0,0
1529854147341,0,0,0,0
1529854147441,0,0,0,0
1529854147541,0,0,0,0
1529854147641,0,0,0,0
1529854147741,0,0,0,0
1529854147841,0,0,0,0
1529854147941,0,0,0,0
1529854148041,0,0,0,0
1529854148141,0,0,0,0
1529854148241,0,0,0,0
1529854148341,0,0,0,0
1529854148441,0,0,0,0
1529854148541,0,0,0,0
1529854148641,0,0,0,0
1529854148741,0,0,0,0
1529854148841,0,0,0,0
1529854148941,0,0,0,0
1529854149041,0,0,0,0
1529854149141,0,0,0,0
1529854149241,0,0,0,0
1529854149341,0,0,0,0
1529854149441,0,0,0,0
1529854149541,0,0,0,0
1529854149648,0,0,0,0
1529854149741,0,0,0,0
1529854149842,0,0,0,0
1529854149941,0,0,0,0
1529854150041,0,0,0,0
1529854150141,0,0,0,0
1529854150241,0,0,0,0
1529854150341,0,0,0,0
1529854150441,0,0,0,0
1529854150541,0,0,0,0
1529854150641,0,0,0,0
1529854150741,0,0,0,0
1529854150841,0,0,0,0
1529854150942,0,0,0,0
1529854151041,0,0,0,0
1529854151141,0,0,0,0
1529854151242,0,0,0,0
1529854151342,0,0,0,0
1529854151441,0,0,0,0
1529854151541,0,0,0,0
1529854151641,0,0,0,0
1529854151741,0,0,0,0
1529854151841,0,0,0,0
1529854151941,0,0,0,0
1529854152041,0,0,0,0
1529854152146,0,0,0,0
1529854152241,0,0,0,0
1529854152341,0,0,0,0
1529854152441,0,0,0,0
1529854152541,0,0,0,0
1529854152641,0,0,0,0
1529854152741,0,0,0,0
1529854152841,0,0,0,0
1529854152941,0,0,0,0
1529854153041,0,0,0,0
1529854153141,0,0,0,0
1529854153241,0,0,0,0
1529854153341,0,0,0,0
1529854153441,0,0,0,0
1529854153541,0,0,0,0
1529854153641,0,0,0,0
1529854153741,0,0,0,0
1529854153841,0,0,0,0
1529854153941,0,0,0,0
1529854154041,0,0,0,0
1529854154141,0,0,0,0
1529854154241,0,0,0,0
1529854154341,0,0,0,0
1529854154441,0,0,0,0
1529854154542,0,0,0,0
1529854154641,0,0,0,0
